Country,Country_Target_Encoded
Mozambique,-0.869203303
Zambia,-0.378332928
Uganda,1.123641934
Congo DRC,0.913625958
Rwanda,0.043881332
South Africa,1.747630098
Haiti,0.438218711
Zimbabwe,0.340689933
Nigeria,0.224182396
C̫te d'Ivoire,0.348862349
Ethiopia,0.163086657
Tanzania,-1.424608013
Nepal,-0.027590443
Paraguay,-0.915101115
Ghana,-1.465139935
Bhutan,-0.015553091
Liberia,1.906744171
Italy,-3.854868846
Kenya,-1.164475559
Bangladesh,1.912049816
Sierra Leone,-0.668927428
Burkina Faso,0.368535659
Burundi,-0.298268184
Guinea,2.066484492
Madagascar,0.520814235
Singapore,-1.537074319
Ukraine,-0.266707132
Afghanistan,-2.310238639
Netherlands,-2.894106766
Eswatini,-0.152537649
Togo,-1.630575624
Angola,-1.143143569
Niger,0.657070622
Trinidad and Tobago,-0.839710423
Jamaica,1.470307483
Vietnam,-1.678568443
Senegal,2.138534283
Malawi,0.152438211
Mali,-0.644108355
Dominican Republic,-1.917454626
Bahamas,-4.344881586
Barbados,0.555017369
Nicaragua,-5.721257697
Lesotho,1.003322731
Honduras,-0.705969402
Peru,4.04183685
Philippines,-2.41795503
Pakistan,-5.140121117
Sri Lanka,2.124086136
Nauru,4.739200747
El Salvador,0.935397676
Uzbekistan,-3.106143086
Ecuador,3.867495876
Indonesia,-4.413700391
Belgium,-0.109335218
Botswana,0.978905228
Colombia,2.647109058
Guatemala,-1.24493539
Republic of Kosovo,-0.491028475
Panama,1.252381265
Brazil,3.788249979
Papua New Guinea,-2.029331187
United Arab Emirates,0.742516153
Cameroon,0.874192263
Namibia,-1.260960696
Laos,0.042668384
South Sudan,-1.195097793
Yemen,-4.620156808
United States,1.886348444
Myanmar,-0.776313705
Mongolia,-1.173232287
Thailand,0.026246942
Cambodia,1.43589808
